Title,Artist,Album Art
Beautiful Day,U2,https://i.scdn.co/image/a48d13ddf477327cdfa249d6db40d0c77b9ddf29
Enter Sandman,Metallica,https://i.scdn.co/image/deb44798f4a2fff65c62bf4ca2c9b0ebb4a7f5f2
Seek & Destroy (Remastered),Metallica,https://i.scdn.co/image/f968547e906c0a2b0916b78ac68f42edb3a2d71e
Fuel,Metallica,https://i.scdn.co/image/f0d7210ed0036b9a5a0cfb6208655d1560a1dd25
I'm Shipping Up To Boston,Dropkick Murphys,https://i.scdn.co/image/f64122f37f01f9040325a171c340e2863286e198
The Hum,Dimitri Vegas & Like Mike,https://i.scdn.co/image/3f1eb5453f71ad2cebc3007a895e0ad56c0d360a
Walk,Foo Fighters,https://i.scdn.co/image/13b3c650142254a1c9191a5cdda961ab051a2659
I Won't Back Down,Tom Petty,https://i.scdn.co/image/ca1b3817f571c60c1ef9d1b6b9af9ec8108fa72e
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,https://i.scdn.co/image/18ea6d20b0d127f24bda175eb5533806caa884b8
The Greatest Show,Hugh Jackman,https://i.scdn.co/image/32dbd227fc8cc94fb7ec9ab5bddc8e9ca72db125
Hungry Like The Wolf - 2009 Remastered Version,Duran Duran,https://i.scdn.co/image/b893b7f06a54cec409acec93cbdef0dcb629aba3
Natural,Imagine Dragons,https://i.scdn.co/image/6ac2ed0481154149e2ca501b5dcbe3c1ac937c43
Hair Up,Justin Timberlake,https://i.scdn.co/image/0a16c89b313ada7f8d935ebddebdf610377d4ae5
Ain't No Stoppin' Us Now,McFadden & Whitehead,https://i.scdn.co/image/9a3b1062a528c42c0b73ffbafd0257112a0e630f
"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",DJ Khaled,https://i.scdn.co/image/7770d3b327f35e9e10df1462696dd1c601120a80
